2023-12-28 13:09:32 INFO  LandingPage:2520 - Width for STOCK input field was SUCCESSFULLY changed.
2023-12-28 13:09:32 INFO  LandingPage:2534 - STOCK input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:32 INFO  LandingPage:2552 - The 'UoM for Quantity from Dipping' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:32 INFO  Waitings:240 - TOTAL TIME that 'UoM for Quantity from Dipping' WIDTH field page was loading: 0.015 seconds.
2023-12-28 13:09:33 INFO  LandingPage:2563 - Width for UOM FOR QUANTITY FROM DIPPING input field was SUCCESSFULLY changed.
2023-12-28 13:09:33 INFO  LandingPage:2577 - UOM FOR QUANTITY FROM DIPPING input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:33 INFO  LandingPage:1397 - The 'OK' button (on 'PERSONALIZATION' popup) was clicked to save Default Settings.
2023-12-28 13:09:34 INFO  Waitings:119 - TOTAL TIME that the DATA COLLATION PAGE after closing PERSONALIZATION popup page was loading: 1.083 seconds.
2023-12-28 13:09:36 INFO  Graphics_Screenshots:48 - EMPTY DATA COLLATION PAGE window screenshot was made. 
2023-12-28 13:09:36 WARN  LandingPage:1362 - The 'Add Item' table is EMPTY.
2023-12-28 13:09:36 INFO  LandingPage:1313 - Button 'NEW' is in ENABLED status.
2023-12-28 13:09:36 INFO  LandingPage:1289 - 'NEW' button was clicked on the main toolbar.
2023-12-28 13:09:37 INFO  Waitings:269 - TOTAL TIME that Editable HEADER DATA Table page was loading: 0.561 seconds.
2023-12-28 13:09:37 WARN  LandingPage:1315 - Button 'NEW' is in DISABLED status.
2023-12-28 13:09:37 INFO  LandingPage:1267 - Button 'ADD ITEM' is in ENABLED status.
2023-12-28 13:09:37 WARN  LandingPage:1362 - The 'Add Item' table is EMPTY.
2023-12-28 13:09:37 INFO  Test_Cases:203 - 'ADD ITEM' button was clicked because the 'ITEM DATA' table has NO editable rows yet.
2023-12-28 13:09:37 INFO  AddItemTable:3218 - Browser window height is 875 pixels
2023-12-28 13:09:37 INFO  AddItemTable:3230 - ADD ITEM Table width is 1849 pixels
2023-12-28 13:09:37 INFO  AddItemTable:3238 - MATERIAL element's Position from left side is: 886 pixels.
2023-12-28 13:09:37 INFO  AddItemTable:3242 - MATERIAL element's Position from top is: 365 pixels.
2023-12-28 13:09:37 INFO  AddItemTable:3246 - MATERIAL element width is 62 pixels
2023-12-28 13:09:37 INFO  AddItemTable:3250 - MATERIAL element height Is 32 pixels
2023-12-28 13:09:37 INFO  AddItemTable:3254 - MATERIAL end coordinate of Web element on X axis is: 948
2023-12-28 13:09:37 INFO  AddItemTable:3258 - MATERIAL end coordinate of Web element on Y axis is: 397
2023-12-28 13:09:37 INFO  AddItemTable:3317 - Material Element is completelly visible in the view port.
2023-12-28 13:09:37 INFO  Waitings:240 - TOTAL TIME that Editable first row of ADD ITEM Table - 'LEFT part' page was loading: 0.293 seconds.
2023-12-28 13:09:38 INFO  Waitings:240 - TOTAL TIME that Editable first row of ADD ITEM Table - 'RIGHT part' page was loading: 0.044 seconds.
2023-12-28 13:09:38 INFO  LandingPage:1195 - Document Status field is in 'A' status as expected.
2023-12-28 13:09:49 INFO  Waitings:477 - TOTAL TIME that the RIGHT PART of ADD ITEM TABLE was observed for changing its status: 1.097 seconds.
